                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                  1.182,                  1.201,                  1.405,                0.82969,                0.83333,                0.75386,                0.31019,                 2.2919,                 1.5557,                  2.636,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.1626,                 1.1661,                 1.2687,                0.82969,                0.83333,                0.75386,                0.31019,                 2.2919,                 1.5557,                  2.636,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.1584,                 1.2556,                  1.491,                0.82999,                0.83333,                0.75929,                0.30731,                 2.3203,                 1.5368,                 2.6831,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.335,                 1.1567,                 1.3584,                0.82999,                0.83333,                0.75929,                0.30731,                 2.3203,                 1.5368,                 2.6831,             0.00024772,             0.00024772,             0.00024772
                     88,                  1.299,                 1.5435,                  1.485,                 0.8301,                0.83333,                0.75876,                0.30465,                 2.3904,                 1.5463,                 2.7971,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0421,                 1.0323,                  1.208,                 0.8301,                0.83333,                0.75876,                0.30465,                 2.3904,                 1.5463,                 2.7971,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.3352,                 2.0862,                 1.6402,                0.83026,                0.83333,                0.76535,                0.28851,                 2.4126,                 1.6309,                 2.8361,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.1226,                 1.5103,                 1.3583,                0.83026,                0.83333,                0.76535,                0.28851,                 2.4126,                 1.6309,                 2.8361,              0.0001817,              0.0001817,              0.0001817
                     92,                0.98332,                 1.4649,                 1.5367,                 0.8311,                0.83333,                 0.7678,                0.29033,                 2.4409,                 1.5517,                 2.8805,              0.0001652,              0.0001652,              0.0001652
                     93,                0.94716,                 1.8099,                 1.3351,                 0.8311,                0.83333,                 0.7678,                0.29033,                 2.4409,                 1.5517,                 2.8805,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.0427,                 1.5028,                 1.5031,                0.83022,                0.83333,                0.76766,                 0.2929,                 2.4301,                 1.5345,                 2.9036,             0.00013219,             0.00013219,             0.00013219
                     95,                  1.031,                 1.8024,                 1.3694,                0.83022,                0.83333,                0.76766,                 0.2929,                 2.4301,                 1.5345,                 2.9036,             0.00011569,             0.00011569,             0.00011569
                     96,                0.71559,                   1.41,                 1.1385,                0.82931,                0.83333,                0.76641,                0.28097,                 2.3994,                 1.5288,                 2.9057,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.93511,                 1.4595,                 1.1177,                0.82931,                0.83333,                0.76641,                0.28097,                 2.3994,                 1.5288,                 2.9057,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.93407,                 1.5429,                 1.3004,                0.81383,                0.77778,                0.74344,                0.28073,                 2.3888,                 1.5296,                 2.9031,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.94215,                 1.3842,                 1.4022,                0.81383,                0.77778,                0.74344,                0.28073,                 2.3888,                 1.5296,                 2.9031,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.82631,                  1.468,                 1.0427,                0.81383,                0.77778,                0.76347,                0.29125,                 2.4097,                 1.5225,                  2.924,             3.3173e-05,             3.3173e-05,             3.3173e-05
