                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.45362,                0.67653,                 0.6424,                0.90432,                0.97234,                0.95925,                  0.995,                0.86552,                0.97234,                0.95925,                  0.995,                0.87733,                0.52728,                0.91209,                 1.2357,                0.80552,             0.00039915,             0.00039915,             0.00039915
                     64,                 0.4767,                0.64477,                0.62791,                0.83617,                0.97234,                0.95925,                  0.995,                0.86552,                0.97234,                0.95925,                  0.995,                0.87733,                0.52728,                0.91209,                 1.2357,                0.80552,             0.00039519,             0.00039519,             0.00039519
                     65,                0.50123,                0.69136,                0.62977,                0.88855,                0.97234,                0.95925,                  0.995,                0.86552,                0.97234,                0.95925,                  0.995,                0.87733,                0.52728,                0.91209,                 1.2357,                0.80552,              0.0003909,              0.0003909,              0.0003909
                     66,                0.42059,                0.65839,                0.61502,                0.88154,                0.97245,                0.95925,                  0.995,                0.85921,                0.97245,                0.95925,                  0.995,                0.86578,                0.50054,                0.90822,                 1.1867,                0.79944,             0.00038629,             0.00038629,             0.00038629
                     67,                0.44192,                0.77889,                 0.6158,                0.88487,                0.97245,                0.95925,                  0.995,                0.85921,                0.97245,                0.95925,                  0.995,                0.86578,                0.50054,                0.90822,                 1.1867,                0.79944,             0.00038134,             0.00038134,             0.00038134
                     68,                0.39468,                0.56591,                0.59105,                0.85696,                0.97245,                0.95925,                  0.995,                0.85921,                0.97245,                0.95925,                  0.995,                0.86578,                0.50054,                0.90822,                 1.1867,                0.79944,             0.00037606,             0.00037606,             0.00037606
                     69,                0.39353,                0.61151,                0.62709,                0.84751,                0.97225,                0.95424,                0.99324,                0.85544,                0.97225,                0.95424,                0.99324,                0.86659,                0.49599,                0.90661,                  1.185,                0.80201,             0.00037045,             0.00037045,             0.00037045
                     70,                0.40237,                0.56585,                0.57565,                0.86187,                0.97225,                0.95424,                0.99324,                0.85544,                0.97225,                0.95424,                0.99324,                0.86659,                0.49599,                0.90661,                  1.185,                0.80201,             0.00036451,             0.00036451,             0.00036451
                     71,                0.39759,                0.61329,                 0.5632,                0.85817,                0.97225,                0.95424,                0.99324,                0.85544,                0.97225,                0.95424,                0.99324,                0.86659,                0.49599,                0.90661,                  1.185,                0.80201,             0.00035824,             0.00035824,             0.00035824
                     72,                0.48231,                0.75015,                0.61187,                0.86076,                0.97196,                0.94882,                  0.995,                0.87198,                0.97196,                0.94882,                  0.995,                0.87136,                0.48979,                0.91031,                 1.1623,                0.80982,             0.00035164,             0.00035164,             0.00035164
                     73,                0.40336,                0.62386,                0.57586,                0.87719,                0.97196,                0.94882,                  0.995,                0.87198,                0.97196,                0.94882,                  0.995,                0.87136,                0.48979,                0.91031,                 1.1623,                0.80982,             0.00034471,             0.00034471,             0.00034471
                     74,                0.44144,                0.73656,                0.60862,                0.87442,                0.97196,                0.94882,                  0.995,                0.87198,                0.97196,                0.94882,                  0.995,                0.87136,                0.48979,                0.91031,                 1.1623,                0.80982,             0.00033745,             0.00033745,             0.00033745
                     75,                0.42425,                0.61674,                0.56422,                0.88005,                0.97156,                0.93821,                  0.995,                0.87959,                0.97156,                0.93821,                  0.995,                0.86234,                 0.4833,                0.91102,                 1.1414,                0.81502,             0.00032986,             0.00032986,             0.00032986
                     76,                0.40987,                0.59849,                0.61007,                0.87101,                0.97156,                0.93821,                  0.995,                0.87959,                0.97156,                0.93821,                  0.995,                0.86234,                 0.4833,                0.91102,                 1.1414,                0.81502,             0.00032194,             0.00032194,             0.00032194
                     77,                0.40286,                0.62172,                0.66958,                0.88382,                0.97156,                0.93821,                  0.995,                0.87959,                0.97156,                0.93821,                  0.995,                0.86234,                 0.4833,                0.91102,                 1.1414,                0.81502,             0.00031369,             0.00031369,             0.00031369
                     78,                0.40045,                0.59012,                 0.5805,                0.86125,                0.97187,                0.92128,                  0.995,                0.86218,                0.97187,                0.92128,                  0.995,                0.85755,                0.49768,                0.89316,                 1.1591,                0.82677,             0.00030511,             0.00030511,             0.00030511
                     79,                0.42589,                   0.68,                0.58102,                0.85632,                0.97187,                0.92128,                  0.995,                0.86218,                0.97187,                0.92128,                  0.995,                0.85755,                0.49768,                0.89316,                 1.1591,                0.82677,              0.0002962,              0.0002962,              0.0002962
                     80,                0.42814,                0.59262,                0.60761,                0.87496,                0.97187,                0.92128,                  0.995,                0.86218,                0.97187,                0.92128,                  0.995,                0.85755,                0.49768,                0.89316,                 1.1591,                0.82677,             0.00028696,             0.00028696,             0.00028696
                     81,                0.44543,                0.65313,                0.57055,                0.87075,                0.97199,                0.88453,                  0.995,                0.86977,                0.97199,                0.88453,                  0.995,                0.86926,                0.50094,                0.87957,                 1.1584,                0.83562,             0.00027739,             0.00027739,             0.00027739
                     82,                0.38419,                0.63518,                 0.5728,                 0.8734,                0.97199,                0.88453,                  0.995,                0.86977,                0.97199,                0.88453,                  0.995,                0.86926,                0.50094,                0.87957,                 1.1584,                0.83562,             0.00026749,             0.00026749,             0.00026749
                     83,                0.35842,                0.60551,                0.53794,                0.84751,                0.97199,                0.88453,                  0.995,                0.86977,                0.97199,                0.88453,                  0.995,                0.86926,                0.50094,                0.87957,                 1.1584,                0.83562,             0.00025726,             0.00025726,             0.00025726
                     84,                0.41511,                0.68785,                0.57697,                0.88222,                 0.9719,                0.90113,                  0.995,                0.89167,                 0.9719,                0.90113,                  0.995,                0.86854,                0.48524,                0.86453,                 1.1465,                0.83456,              0.0002467,              0.0002467,              0.0002467
                     85,                 0.4216,                0.60987,                0.61293,                0.89805,                 0.9719,                0.90113,                  0.995,                0.89167,                 0.9719,                0.90113,                  0.995,                0.86854,                0.48524,                0.86453,                 1.1465,                0.83456,             0.00023581,             0.00023581,             0.00023581
                     86,                0.41769,                0.65953,                0.58068,                0.86194,                 0.9719,                0.90113,                  0.995,                0.89167,                 0.9719,                0.90113,                  0.995,                0.86854,                0.48524,                0.86453,                 1.1465,                0.83456,             0.00022459,             0.00022459,             0.00022459
                     87,                0.39739,                0.61927,                0.57058,                0.87784,                 0.9719,                0.90113,                  0.995,                0.89167,                 0.9719,                0.90113,                  0.995,                0.86854,                0.48524,                0.86453,                 1.1465,                0.83456,             0.00021304,             0.00021304,             0.00021304
                     88,                0.41382,                0.60385,                0.57869,                0.89198,                0.96833,                      1,                  0.995,                 0.8843,                0.96833,                      1,                  0.995,                0.86646,                0.46841,                0.85437,                 1.1101,                0.82936,             0.00020116,             0.00020116,             0.00020116
                     89,                 0.3788,                0.63296,                0.55571,                0.85455,                0.96833,                      1,                  0.995,                 0.8843,                0.96833,                      1,                  0.995,                0.86646,                0.46841,                0.85437,                 1.1101,                0.82936,             0.00018894,             0.00018894,             0.00018894
                     90,                0.42397,                0.69062,                0.56785,                0.87267,                0.96833,                      1,                  0.995,                 0.8843,                0.96833,                      1,                  0.995,                0.86646,                0.46841,                0.85437,                 1.1101,                0.82936,              0.0001764,              0.0001764,              0.0001764
                     91,                0.31244,                0.56433,                0.97114,                0.82777,                0.96833,                      1,                  0.995,                 0.8843,                0.96833,                      1,                  0.995,                0.86646,                0.46841,                0.85437,                 1.1101,                0.82936,             0.00016353,             0.00016353,             0.00016353
                     92,                0.36173,                0.56462,                 1.0332,                0.80347,                  0.961,                      1,                  0.995,                0.88553,                  0.961,                      1,                  0.995,                0.86197,                0.46129,                0.84237,                 1.1081,                0.82748,             0.00015033,             0.00015033,             0.00015033
                     93,                0.34692,                 0.5859,                0.88618,                 0.8371,                  0.961,                      1,                  0.995,                0.88553,                  0.961,                      1,                  0.995,                0.86197,                0.46129,                0.84237,                 1.1081,                0.82748,              0.0001368,              0.0001368,              0.0001368
                     94,                0.37202,                0.61919,                0.85394,                0.83313,                  0.961,                      1,                  0.995,                0.88553,                  0.961,                      1,                  0.995,                0.86197,                0.46129,                0.84237,                 1.1081,                0.82748,             0.00012294,             0.00012294,             0.00012294
                     95,                0.37085,                0.57302,                0.94215,                0.90888,                  0.961,                      1,                  0.995,                0.88553,                  0.961,                      1,                  0.995,                0.86197,                0.46129,                0.84237,                 1.1081,                0.82748,             0.00010875,             0.00010875,             0.00010875
                     96,                0.34251,                 0.6016,                0.91919,                0.86869,                 0.9589,                      1,                  0.995,                0.88502,                 0.9589,                      1,                  0.995,                0.86609,                0.45899,                0.83737,                 1.1124,                0.82504,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                 0.3678,                0.57189,                0.82492,                 0.8576,                 0.9589,                      1,                  0.995,                0.88502,                 0.9589,                      1,                  0.995,                0.86609,                0.45899,                0.83737,                 1.1124,                0.82504,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                0.37762,                0.66521,                0.90583,                0.84623,                 0.9589,                      1,                  0.995,                0.88502,                 0.9589,                      1,                  0.995,                0.86609,                0.45899,                0.83737,                 1.1124,                0.82504,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                0.39372,                0.59464,                0.87714,                 0.8616,                 0.9589,                      1,                  0.995,                0.88502,                 0.9589,                      1,                  0.995,                0.86609,                0.45899,                0.83737,                 1.1124,                0.82504,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                0.30713,                0.55407,                0.79946,                0.81887,                 0.9617,                      1,                  0.995,                0.88869,                 0.9617,                      1,                  0.995,                0.86079,                0.45297,                0.83796,                 1.0837,                0.82136,             3.2842e-05,             3.2842e-05,             3.2842e-05
